company,year,share
AAPL,1313964000000,23.17
AAPL,1314050400000,23.78
AAPL,1314136800000,24.10
AAPL,1314223200000,23.86
AAPL,1314309600000,24.54
AAPL,1314568800000,25.51
AAPL,1314655200000,25.19
AAPL,1314741600000,25.24
AAPL,1314828000000,24.77
AAPL,1314914400000,24.15
AAPL,1315260000000,23.74
AAPL,1315346400000,25.30
AAPL,1315432800000,24.99
AAPL,1315519200000,24.64
AAPL,1315778400000,25.20
AAPL,1315864800000,25.18
AAPL,1315951200000,25.75
AAPL,1316037600000,26.12
AAPL,1316124000000,25.52
AAPL,1316383200000,25.27
AAPL,1316469600000,24.64
AAPL,1316556000000,24.89
AAPL,1316642400000,24.31
AAPL,1316728800000,24.88
AAPL,1316988000000,25.13
AAPL,1317074400000,25.56
AAPL,1317160800000,25.11
AAPL,1317247200000,24.99
AAPL,1317333600000,24.17
AAPL,1317592800000,23.26
AAPL,1317679200000,24.04
AAPL,1317765600000,24.68
AAPL,1317852000000,25.33
AAPL,1317938400000,25.28
AAPL,1318197600000,25.76
AAPL,1318284000000,25.84
AAPL,1318370400000,25.88
AAPL,1318456800000,25.80
AAPL,1318543200000,26.81
AAPL,1318802400000,26.24
AAPL,1318888800000,26.76
AAPL,1318975200000,26.02
AAPL,1319061600000,26.08
AAPL,1319148000000,27.30
AAPL,1319407200000,28.20
AAPL,1319493600000,27.85
AAPL,1319580000000,27.81
AAPL,1319666400000,28.34
AAPL,1319752800000,29.02
AAPL,1320015600000,29.41
AAPL,1320102000000,28.59
AAPL,1320188400000,29.35
AAPL,1320274800000,30.16
AAPL,1320361200000,29.79
AAPL,1320620400000,29.92
AAPL,1320706800000,30.42
AAPL,1320793200000,28.08
AAPL,1320879600000,28.03
AAPL,1320966000000,28.43
AAPL,1321225200000,28.24
AAPL,1321311600000,28.47
AAPL,1321398000000,28.54
AAPL,1321484400000,27.69
AAPL,1321570800000,27.18
AAPL,1321830000000,26.63
AAPL,1321916400000,26.33
AAPL,1322002800000,25.94
AAPL,1322175600000,25.83
AAPL,1322434800000,26.62
AAPL,1322521200000,26.07
AAPL,1322607600000,27.42
AAPL,1322694000000,27.14
AAPL,1322780400000,27.11
AAPL,1323039600000,27.91
AAPL,1323126000000,27.96
AAPL,1323212400000,27.86
AAPL,1323298800000,27.38
AAPL,1323385200000,28.04
AAPL,1323644400000,27.39
AAPL,1323730800000,26.99
AAPL,1323817200000,26.52
AAPL,1323903600000,26.46
AAPL,1323990000000,28.20
AAPL,1324249200000,27.50
AAPL,1324335600000,28.44
AAPL,1324422000000,27.97
AAPL,1324508400000,27.89
AAPL,1324594800000,28.29
AAPL,1324940400000,28.50
AAPL,1325026800000,28.02
AAPL,1325113200000,28.31
AAPL,1325199600000,28.27
AAPL,1325545200000,28.57
AAPL,1325631600000,28.28
AAPL,1325718000000,28.48
AAPL,1325804400000,28.72
AAPL,1326063600000,28.53
AAPL,1326150000000,29.20
AAPL,1326236400000,29.32
AAPL,1326322800000,29.23
AAPL,1326409200000,28.97
AAPL,1326754800000,29.35
AAPL,1326841200000,29.89
AAPL,1326927600000,30.24
AAPL,1327014000000,30.50
AAPL,1327273200000,30.23
AAPL,1327359600000,30.95
AAPL,1327446000000,31.34
AAPL,1327532400000,31.18
AAPL,1327618800000,31.05
AAPL,1327878000000,31.00
AAPL,1327964400000,30.95
AAPL,1328050800000,31.24
AAPL,1328137200000,31.29
AAPL,1328223600000,31.85
AAPL,1328482800000,31.86
AAPL,1328569200000,32.28
AAPL,1328655600000,32.10
AAPL,1328742000000,32.65
AAPL,1328828400000,32.21
AAPL,1329087600000,32.35
AAPL,1329174000000,32.44
AAPL,1329260400000,32.46
AAPL,1329346800000,32.86
AAPL,1329433200000,32.75
AAPL,1329778800000,32.54
AAPL,1329865200000,32.33
AAPL,1329951600000,32.97
AAPL,1330038000000,33.41
AAPL,1330297200000,33.27
AAPL,1330383600000,33.27
AAPL,1330470000000,32.89
AAPL,1330556400000,33.10
AAPL,1330642800000,33.73
